type,subject,text,option1,option2,option3,option4,correctoptionindex,correctnumericanswer,imageurl,difficulty
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_054.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_055.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_053.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_052.jpg,1,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_051.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_038.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_040.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_039.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_037.jpg,2,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_036.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_009.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_010.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_007.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_008.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_006.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_074.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_075.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_073.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_072.jpg,1,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_071.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_028.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_027.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_029.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_030.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_026.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_024.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_025.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_023.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_022.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_021.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_014.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_013.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_012.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_015.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_011.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_004.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_002.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_003.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_005.jpg,1,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_001.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_043.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_044.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_042.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_045.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_041.jpg,Mains
MCQ,Physics,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_048.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_049.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_047.jpg,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_050.jpg,0,,https://cdn3.digialm.com/per/g28/pub/2083/touchstone/TempQPImagesStoreMode1/adcimages/1769426070922/86065419///2083_860654_0_29761204_sriva_set05_eng_046.jpg,Mains
